week,Date,PTE,period_from,period_until,upward_dispatch_EURMwh,downward_dispatch_kWhPTE,incentive_component_EURMwh,take_from_system_kWhPTE,feed_into_system_EURMwh,Regulation state,purchase_kWhPTE,sell_kWhPTE,absolute_kWhPTE,imbalance_kWhPTE,downward_reserve_kWh_PTE,downward_power_kWh_PTE,upward_power_kWh_PTE,upward_reserve_kWh_PTE,upward_incident_reserve_kWh_PTE,downward_incident_reserve_kWh_PTE,volume_kWhPTE,totals_kWhPTE
1,01-01-17,1,0:00,0:15,250,-200,0,250,-200,2,-111380,106822,218202,-4558,0,-6199,3167,0,0,,9366,-3032
1,01-01-17,2,0:15,0:30,250,,0,250,250,1,-110431,79722,190153,-30709,0,0,39599,0,0,,39599,39599
1,01-01-17,3,0:30,0:45,,,0,33.56,33.56,0,-95092,96056,191148,964,0,0,2883,0,0,,2883,2883
1,01-01-17,4,0:45,1:00,42.89,,0,42.89,42.89,1,-119886,93190,213076,-26696,0,0,1062,0,0,,1062,1062
1,01-01-17,5,1:00,1:15,72.28,,0,72.28,72.28,1,-116536,108904,225440,-7632,0,0,3760,0,0,,3760,3760
1,01-01-17,6,1:15,1:30,250,,0,250,250,1,-129230,101447,230677,-27783,0,0,37005,0,0,,37005,37005
1,01-01-17,7,1:30,1:45,39.13,33.12,0,39.13,33.12,2,-92298,106249,198547,13951,0,-169,6199,0,0,,6368,6030
1,01-01-17,8,1:45,2:00,46.69,,0,46.69,46.69,1,-122009,106071,228080,-15938,0,0,2790,0,0,,2790,2790
1,01-01-17,9,2:00,2:15,250,,0,250,250,1,-128845,56635,185480,-72210,0,0,27771,0,0,,27771,27771
1,01-01-17,10,2:15,2:30,250,,0,250,250,1,-115620,81356,196976,-34264,0,0,45063,0,0,,45063,45063
1,01-01-17,11,2:30,2:45,250,31.63,0,31.63,31.63,-1,-94781,98027,192808,3246,0,-673,5028,0,0,,5701,4355
1,01-01-17,12,2:45,3:00,,35.63,0,35.63,35.63,-1,-90597,91469,182066,872,0,-830,0,0,0,,830,-830
1,01-01-17,13,3:00,3:15,250,36.63,0,250,34.33,2,-110290,63869,174159,-46421,0,-297,17338,0,0,,17635,17041
1,01-01-17,14,3:15,3:30,49.13,,0,49.13,49.13,1,-93776,84925,178701,-8851,0,0,16146,0,0,,16146,16146
1,01-01-17,15,3:30,3:45,49.13,36.63,0,36.63,36.63,-1,-79142,85259,164401,6117,0,-10,432,0,0,,442,422
1,01-01-17,16,3:45,4:00,,31.63,0,31.63,31.63,-1,-79233,86992,166225,7759,0,-4990,0,0,0,,4990,-4990
1,01-01-17,17,4:00,4:15,50.02,36.63,0,50.02,50.02,1,-85800,65477,151277,-20323,0,-2491,5166,0,0,,7657,2675
1,01-01-17,18,4:15,4:30,42.39,,0,42.39,42.39,1,-81786,69877,151663,-11909,0,0,7660,0,0,,7660,7660
1,01-01-17,19,4:30,4:45,43.13,,0,43.13,43.13,1,-81416,66530,147946,-14886,0,0,9457,0,0,,9457,9457
1,01-01-17,20,4:45,5:00,42.39,,0,42.39,42.39,1,-90044,67192,157236,-22852,0,0,9324,0,0,,9324,9324
1,01-01-17,21,5:00,5:15,42.39,36.63,0,36.63,36.63,-1,-86120,96950,183070,10830,0,-533,451,0,0,,984,-82
1,01-01-17,22,5:15,5:30,,,0,34.33,34.33,0,-88996,88218,177214,-778,0,0,0,0,0,,0,0
1,01-01-17,23,5:30,5:45,49.13,,0,49.13,49.13,1,-98115,76030,174145,-22085,0,0,7217,0,0,,7217,7217
1,01-01-17,24,5:45,6:00,56.02,,0,56.02,56.02,1,-111881,75405,187286,-36476,0,0,29447,0,0,,29447,29447
1,01-01-17,25,6:00,6:15,49.13,,0,49.13,49.13,1,-81727,49273,131000,-32454,0,0,18221,0,0,,18221,18221
1,01-01-17,26,6:15,6:30,250,,0,250,250,1,-110674,35841,146515,-74833,0,0,39215,0,0,,39215,39215
1,01-01-17,27,6:30,6:45,44.29,,0,44.29,44.29,1,-97837,47562,145399,-50275,0,0,17676,0,0,,17676,17676
1,01-01-17,28,6:45,7:00,,,0,34.33,34.33,0,-106282,40176,146458,-66106,0,0,42,0,0,,42,42
1,01-01-17,29,7:00,7:15,,35.63,0,35.63,35.63,-1,-96851,95897,192748,-954,0,-3,0,0,0,,3,-3
1,01-01-17,30,7:15,7:30,,,0,34.33,34.33,0,-99039,82791,181830,-16248,0,0,0,0,0,,0,0
1,01-01-17,31,7:30,7:45,49.13,,0,49.13,49.13,1,-112439,77794,190233,-34645,0,0,2720,0,0,,2720,2720
1,01-01-17,32,7:45,8:00,49.13,,0,49.13,49.13,1,-111411,77707,189118,-33704,0,0,17881,0,0,,17881,17881
1,01-01-17,33,8:00,8:15,49.13,36.63,0,36.63,36.63,-1,-101646,88909,190555,-12737,0,-128,1452,0,0,,1580,1324
1,01-01-17,34,8:15,8:30,40.99,36.63,0,40.99,40.99,1,-96136,71116,167252,-25020,0,-97,515,0,0,,612,418
1,01-01-17,35,8:30,8:45,49.13,,0,49.13,49.13,1,-96692,71249,167941,-25443,0,0,12817,0,0,,12817,12817
1,01-01-17,36,8:45,9:00,40.02,,0,40.02,40.02,1,-89793,96298,186091,6505,0,0,5717,0,0,,5717,5717
1,01-01-17,37,9:00,9:15,62.02,,0,62.02,62.02,1,-110195,54754,164949,-55441,0,0,2857,0,0,,2857,2857
1,01-01-17,38,9:15,9:30,250,,0,250,250,1,-96585,46154,142739,-50431,0,0,40289,0,0,,40289,40289
1,01-01-17,39,9:30,9:45,44.02,,0,44.02,44.02,1,-79350,62475,141825,-16875,0,0,15138,0,0,,15138,15138
