week,Date,PTE,period_from,period_until,upward_dispatch_EURMwh,downward_dispatch_kWhPTE,incentive_component_EURMwh,take_from_system_kWhPTE,feed_into_system_EURMwh,Regulation state,purchase_kWhPTE,sell_kWhPTE,absolute_kWhPTE,imbalance_kWhPTE,downward_reserve_kWh_PTE,downward_power_kWh_PTE,upward_power_kWh_PTE,upward_reserve_kWh_PTE,upward_incident_reserve_kWh_PTE,downward_incident_reserve_kWh_PTE,volume_kWhPTE,totals_kWhPTE
1,01-01-18,1,0:00,0:15,58.62,-57.54,0,58.62,-57.54,2,-125886,82717,208603,-43169,0,-6633,8613,0,0,,15246,1980
1,01-01-18,2,0:15,0:30,37.02,-57.54,0,37.02,37.02,1,-76303,108585,184888,32282,0,-36,4790,0,0,,4826,4754
1,01-01-18,3,0:30,0:45,,,0,33.1,33.1,0,-70684,92985,163669,22301,0,0,0,0,0,,0,0
1,01-01-18,4,0:45,1:00,,,0,33.1,33.1,0,-58767,85398,144165,26631,0,0,0,0,0,,0,0
1,01-01-18,5,1:00,1:15,,,0,33.09,33.09,0,-95688,97985,193673,2297,0,0,0,0,0,,0,0
1,01-01-18,6,1:15,1:30,35.19,,0,35.19,35.19,1,-94081,86460,180541,-7621,0,0,755,0,0,,755,755
1,01-01-18,7,1:30,1:45,,,0,33.56,33.56,0,-61056,90737,151793,29681,0,0,0,0,0,,0,0
1,01-01-18,8,1:45,2:00,,26.09,0,26.09,26.09,-1,-46823,95988,142811,49165,0,-3908,0,0,0,,3908,-3908
1,01-01-18,9,2:00,2:15,36.62,33.62,0,36.62,36.62,1,-82492,75807,158299,-6685,0,-2511,1059,0,0,,3570,-1452
1,01-01-18,10,2:15,2:30,32.45,,0,32.45,32.45,1,-77317,72150,149467,-5167,0,0,2039,0,0,,2039,2039
1,01-01-18,11,2:30,2:45,39.54,,0,39.54,39.54,1,-76429,70673,147102,-5756,0,0,8026,0,0,,8026,8026
1,01-01-18,12,2:45,3:00,39.54,31.03,0,31.03,31.03,-1,-62301,82519,144820,20218,0,-4318,1736,0,0,,6054,-2582
1,01-01-18,13,3:00,3:15,52.62,34.63,0,52.62,52.62,1,-93964,67759,161723,-26205,0,-1304,4086,0,0,,5390,2782
1,01-01-18,14,3:15,3:30,52.62,,0,52.62,52.62,1,-86327,65455,151782,-20872,0,0,22858,0,0,,22858,22858
1,01-01-18,15,3:30,3:45,33.82,34.8,0,34.8,34.8,-1,-73419,74723,148142,1304,0,-133,6578,0,0,,6711,6445
1,01-01-18,16,3:45,4:00,,26.91,0,26.91,26.91,-1,-68790,85907,154697,17117,0,-2454,0,0,0,,2454,-2454
1,01-01-18,17,4:00,4:15,41.79,34.53,0,41.79,41.79,1,-84531,79210,163741,-5321,0,-1556,4441,0,0,,5997,2885
1,01-01-18,18,4:15,4:30,36.62,,0,36.62,36.62,1,-77851,77326,155177,-525,0,0,6676,0,0,,6676,6676
1,01-01-18,19,4:30,4:45,32.37,,0,32.37,32.37,1,-78894,79165,158059,271,0,0,517,0,0,,517,517
1,01-01-18,20,4:45,5:00,36.62,,0,36.62,36.62,1,-81276,73779,155055,-7497,0,0,3993,0,0,,3993,3993
1,01-01-18,21,5:00,5:15,32.05,,0,32.05,32.05,1,-71356,88154,159510,16798,0,0,249,0,0,,249,249
1,01-01-18,22,5:15,5:30,,,0,32.82,32.82,0,-74967,89157,164124,14190,0,0,0,0,0,,0,0
1,01-01-18,23,5:30,5:45,36.62,,0,36.62,36.62,1,-81379,76817,158196,-4562,0,0,670,0,0,,670,670
1,01-01-18,24,5:45,6:00,40.62,,0,40.62,40.62,1,-86283,65781,152064,-20502,0,0,11894,0,0,,11894,11894
1,01-01-18,25,6:00,6:15,36.28,,0,36.28,36.28,1,-78504,78299,156803,-205,0,0,7996,0,0,,7996,7996
1,01-01-18,26,6:15,6:30,50.14,,0,50.14,50.14,1,-91782,60851,152633,-30931,0,0,17733,0,0,,17733,17733
1,01-01-18,27,6:30,6:45,44.17,,0,44.17,44.17,1,-100857,67171,168028,-33686,0,0,29747,0,0,,29747,29747
1,01-01-18,28,6:45,7:00,52.28,,0,52.28,52.28,1,-109673,55742,165415,-53931,0,0,36957,0,0,,36957,36957
1,01-01-18,29,7:00,7:15,32.36,,0,32.36,32.36,1,-107189,96753,203942,-10436,0,0,12254,0,0,,12254,12254
1,01-01-18,30,7:15,7:30,43.59,,0,43.59,43.59,1,-114809,91881,206690,-22928,0,0,3940,0,0,,3940,3940
1,01-01-18,31,7:30,7:45,51.59,,0,51.59,51.59,1,-124001,89739,213740,-34262,0,0,26058,0,0,,26058,26058
1,01-01-18,32,7:45,8:00,52.28,,0,52.28,52.28,1,-136424,104892,241316,-31532,0,0,26339,0,0,,26339,26339
1,01-01-18,33,8:00,8:15,47.66,-65.75,0,47.66,-65.75,2,-87344,101309,188653,13965,0,-10629,9910,0,0,,20539,-719
1,01-01-18,34,8:15,8:30,58.94,-65.75,0,58.94,58.94,1,-107686,93535,201221,-14151,0,-21,13022,0,0,,13043,13001
1,01-01-18,35,8:30,8:45,58.94,19.03,0,19.03,19.03,-1,-87682,111799,199481,24117,0,-9155,3013,0,0,,12168,-6142
1,01-01-18,36,8:45,9:00,,15.03,0,15.03,15.03,-1,-86532,117899,204431,31367,0,-30341,0,0,0,,30341,-30341
1,01-01-18,37,9:00,9:15,,-73.62,0,-73.62,-73.62,-1,-77922,184556,262478,106634,0,-57815,0,0,0,,57815,-57815
1,01-01-18,38,9:15,9:30,,-57.51,0,-57.51,-57.51,-1,-76398,145734,222132,69336,0,-54696,0,0,0,,54696,-54696
1,01-01-18,39,9:30,9:45,,2.55,0,2.55,2.55,-1,-89110,146020,235130,56910,0,-55867,0,0,0,,55867,-55867
1,01-01-18,40,9:45,10:00,,-70.17,0,-70.17,-70.17,-1,-83442,150688,234130,67246,0,-55474,0,0,0,,55474,-55474
1,01-01-18,41,10:00,10:15,,14.9,0,14.9,14.9,-1,-86502,136059,222561,49557,0,-40959,0,0,0,,40959,-40959
1,01-01-18,42,10:15,10:30,,14.9,0,14.9,14.9,-1,-75195,127783,202978,52588,0,-44779,0,0,0,,44779,-44779
1,01-01-18,43,10:30,10:45,,26.93,0,26.93,26.93,-1,-73111,151557,224668,78446,0,-34704,0,0,0,,34704,-34704
1,01-01-18,44,10:45,11:00,,30.03,0,30.03,30.03,-1,-69398,138129,207527,68731,0,-17516,0,0,0,,17516,-17516
1,01-01-18,45,11:00,11:15,,35.55,0,35.55,35.55,-1,-127713,130707,258420,2994,0,-121,0,0,0,,121,-121
1,01-01-18,46,11:15,11:30,,33.28,0,33.28,33.28,-1,-62619,120116,182735,57497,0,-1300,0,0,0,,1300,-1300
1,01-01-18,47,11:30,11:45,,,0,33.95,33.95,0,-66472,132217,198689,65745,0,-161,0,0,0,,161,-161
1,01-01-18,48,11:45,12:00,,,0,33.94,33.94,0,-71915,119663,191578,47748,0,0,0,0,0,,0,0
1,01-01-18,49,12:00,12:15,,-62.54,0,-62.54,-62.54,-1,-90996,159428,250424,68432,0,-21841,0,0,0,,21841,-21841
1,01-01-18,50,12:15,12:30,,10.42,0,10.42,10.42,-1,-73561,150024,223585,76463,0,-46433,0,0,0,,46433,-46433
1,01-01-18,51,12:30,12:45,,,0,34.22,34.22,0,-71933,139960,211893,68027,0,-8175,0,0,0,,8175,-8175
1,01-01-18,52,12:45,13:00,,,0,34.23,34.23,0,-80241,105916,186157,25675,0,0,0,0,0,,0,0
1,01-01-18,53,13:00,13:15,,,0,34.03,34.03,0,-90390,115915,206305,25525,0,0,0,0,0,,0,0
1,01-01-18,54,13:15,13:30,42.35,,0,42.35,42.35,1,-105394,102863,208257,-2531,0,0,1213,0,0,,1213,1213
1,01-01-18,55,13:30,13:45,61.6,,0,61.6,61.6,1,-120778,68874,189652,-51904,0,0,38318,0,0,,38318,38318
1,01-01-18,56,13:45,14:00,52.4,,0,52.4,52.4,1,-127471,60167,187638,-67304,0,0,36597,0,0,,36597,36597
1,01-01-18,57,14:00,14:15,52.4,17.53,0,17.53,17.53,-1,-35416,140803,176219,105387,0,-3040,11415,0,0,,14455,8375
1,01-01-18,58,14:15,14:30,,,0,33.83,33.83,0,-53981,79085,133066,25104,0,0,0,0,0,,0,0
1,01-01-18,59,14:30,14:45,,,0,33.83,33.83,0,-78085,74583,152668,-3502,0,0,0,0,0,,0,0
1,01-01-18,60,14:45,15:00,46.31,,0,46.31,46.31,1,-117729,59702,177431,-58027,0,0,8269,0,0,,8269,8269
1,01-01-18,61,15:00,15:15,46.31,35.88,0,35.88,35.88,-1,-41612,85859,127471,44247,0,-52,2815,0,0,,2867,2763
1,01-01-18,62,15:15,15:30,,,0,33.82,33.82,0,-65470,75293,140763,9823,0,0,0,0,0,,0,0
1,01-01-18,63,15:30,15:45,46.05,,0,46.05,46.05,1,-84190,66812,151002,-17378,0,0,5031,0,0,,5031,5031
1,01-01-18,64,15:45,16:00,52.28,,0,52.28,52.28,1,-111397,69122,180519,-42275,0,0,32541,0,0,,32541,32541
